Date,Daily_confirmed,Daily_deceased,Daily_recovered,Total_confirmed,Total_deceased,Total_recovered
30 January ,1,0,0,1,0,0
31 January ,0,0,0,1,0,0
01 February ,0,0,0,1,0,0
02 February ,1,0,0,2,0,0
03 February ,1,0,0,3,0,0
04 February ,0,0,0,3,0,0
05 February ,0,0,0,3,0,0
06 February ,0,0,0,3,0,0
07 February ,0,0,0,3,0,0
08 February ,0,0,0,3,0,0
09 February ,0,0,0,3,0,0
10 February ,0,0,0,3,0,0
11 February ,0,0,0,3,0,0
12 February ,0,0,0,3,0,0
13 February ,0,0,1,3,0,1
14 February ,0,0,0,3,0,1
15 February ,0,0,0,3,0,1
16 February ,0,0,1,3,0,2
17 February ,0,0,0,3,0,2
18 February ,0,0,0,3,0,2
19 February ,0,0,0,3,0,2
20 February ,0,0,1,3,0,3
21 February ,0,0,0,3,0,3
22 February ,0,0,0,3,0,3
23 February ,0,0,0,3,0,3
24 February ,0,0,0,3,0,3
25 February ,0,0,0,3,0,3
26 February ,0,0,0,3,0,3
27 February ,0,0,0,3,0,3
28 February ,0,0,0,3,0,3
29 February ,0,0,0,3,0,3
01 March ,0,0,0,3,0,3
02 March ,2,0,0,5,0,3
03 March ,1,0,0,6,0,3
04 March ,22,0,0,28,0,3
05 March ,2,0,0,30,0,3
06 March ,1,0,0,31,0,3
07 March ,3,0,0,34,0,3
08 March ,5,0,0,39,0,3
09 March ,9,0,0,48,0,3
10 March ,15,0,1,63,0,4
11 March ,8,0,0,71,0,4
12 March ,10,1,0,81,1,4
13 March ,10,0,6,91,1,10
14 March ,11,1,0,102,2,10
15 March ,10,0,3,112,2,13
16 March ,14,0,1,126,2,14
17 March ,20,1,1,146,3,15
18 March ,25,0,0,171,3,15
19 March ,27,1,5,198,4,20
20 March ,58,0,3,256,4,23
21 March ,78,0,0,334,4,23
22 March ,69,3,0,403,7,23
23 March ,94,2,2,497,9,25
24 March ,74,1,15,571,10,40
25 March ,86,1,3,657,11,43
26 March ,73,5,7,730,16,50
27 March ,153,3,25,883,19,75
28 March ,136,5,10,1019,24,85
29 March ,120,3,17,1139,27,102
30 March ,187,14,35,1326,41,137
31 March ,309,6,13,1635,47,150
01 April ,424,6,19,2059,53,169
02 April ,486,16,22,2545,69,191
03 April ,560,14,39,3105,83,230
04 April ,579,13,56,3684,96,286
05 April ,609,22,43,4293,118,329
06 April ,484,16,65,4777,134,394
07 April ,573,27,75,5350,161,469
08 April ,565,20,96,5915,181,565
09 April ,813,46,70,6728,227,635
10 April ,871,22,151,7599,249,786
11 April ,854,41,186,8453,290,972
12 April ,758,42,114,9211,332,1086
13 April ,1243,27,112,10454,359,1198
14 April ,1031,37,167,11485,396,1365
15 April ,886,27,144,12371,423,1509
16 April ,1061,26,258,13432,449,1767
17 April ,922,38,273,14354,487,2040
18 April ,1371,35,426,15725,522,2466
19 April ,1580,38,388,17305,560,2854
20 April ,1239,33,419,18544,593,3273
21 April ,1537,53,703,20081,646,3976
22 April ,1292,36,394,21373,682,4370
23 April ,1667,40,642,23040,722,5012
24 April ,1408,59,484,24448,781,5496
25 April ,1835,44,442,26283,825,5938
26 April ,1607,56,585,27890,881,6523
27 April ,1568,58,580,29458,939,7103
28 April ,1902,69,636,31360,1008,7739
29 April ,1705,71,690,33065,1079,8429
30 April ,1801,75,630,34866,1154,9059
01 May ,2396,77,962,37262,1231,10021
02 May ,2564,92,831,39826,1323,10852
03 May ,2952,140,911,42778,1463,11763
04 May ,3656,103,1082,46434,1566,12845
05 May ,2971,128,1295,49405,1694,14140
06 May ,3602,91,1161,53007,1785,15301
07 May ,3344,104,1475,56351,1889,16776
08 May ,3339,97,1111,59690,1986,17887
09 May ,3175,115,1414,62865,2101,19301
10 May ,4311,112,1669,67176,2213,20970
11 May ,3592,81,1579,70768,2294,22549
12 May ,3562,120,1905,74330,2414,24454
13 May ,3726,137,1963,78056,2551,26417
14 May ,3991,97,1594,82047,2648,28011
15 May ,3808,104,2234,85855,2752,30245
16 May ,4794,120,4012,90649,2872,34257
17 May ,5049,152,2538,95698,3024,36795
18 May ,4628,131,2482,100326,3155,39277
19 May ,6154,146,3032,106480,3301,42309
20 May ,5720,134,3113,112200,3435,45422
21 May ,6023,148,3131,118223,3583,48553
22 May ,6536,142,3280,124759,3725,51833
23 May ,6667,142,2576,131424,3867,54409
24 May ,7111,156,3285,138537,4023,57694
25 May ,6414,150,3012,144951,4173,60706
26 May ,5907,173,3585,150858,4346,64291
27 May ,7246,188,3434,158104,4534,67725
28 May ,7254,176,3171,165358,4710,70896
29 May ,8138,269,11735,173496,4979,82631
30 May ,8364,205,4303,181860,5184,86934
31 May ,8789,222,4928,190649,5406,91862
01 June ,7723,201,3892,198372,5607,95754
02 June ,8815,221,4531,207187,5828,100285
03 June ,9638,259,3786,216825,6087,104071
